2016-05-16 09:09:43,681 [Worker-4] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: spring_Board:spring_Board:0.0.1-SNAPSHOT @ I:\workspace\spring\spring_Board\pom.xml.
2016-05-16 09:09:48,744 [Worker-3] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (MS949 actually) to copy filtered resources, i.e. build is platform dependent!
2016-05-16 09:09:48,746 [Worker-3] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory I:\workspace\spring\spring_Board\src\main\resources
2016-05-16 09:09:48,748 [Worker-3] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (MS949 actually) to copy filtered resources, i.e. build is platform dependent!
2016-05-16 09:09:48,749 [Worker-3] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory I:\workspace\spring\spring_Board\src\test\resources
2016-05-16 09:09:48,843 [Worker-4] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /spring_Board/src
2016-05-16 09:09:48,844 [Worker-4] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Not adding source folder /spring_Board/src/test/java because it overlaps with /spring_Board/src
2016-05-16 09:09:49,841 [Worker-4] INFO  o.e.m.c.i.p.ProjectConfigurationManager - Update started
2016-05-16 09:09:58,197 [Worker-4] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: spring_Board:spring_Board:0.0.1-SNAPSHOT @ I:\workspace\spring\spring_Board\pom.xml.
2016-05-16 09:10:07,101 [Worker-20] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (MS949 actually) to copy filtered resources, i.e. build is platform dependent!
2016-05-16 09:10:07,102 [Worker-20] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory I:\workspace\spring\spring_Board\src\main\resources
2016-05-16 09:10:07,104 [Worker-20] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (MS949 actually) to copy filtered resources, i.e. build is platform dependent!
2016-05-16 09:10:07,104 [Worker-20] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory I:\workspace\spring\spring_Board\src\test\resources
2016-05-16 09:10:07,105 [Worker-20] INFO  o.e.m.w.i.f.ResourceFilteringBuildParticipant - Changed resources require a complete clean of filtered resources of spring_Board
2016-05-16 09:10:07,105 [Worker-20] INFO  o.e.m.w.i.f.ResourceFilteringBuildParticipant - Executing resource filtering for spring_Board
2016-05-16 09:10:07,204 [Worker-20] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (MS949 actually) to copy filtered resources, i.e. build is platform dependent!
2016-05-16 09:10:07,254 [Worker-4] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /spring_Board/src
